candidate_id,artist,title,spotify_track_id,primary_artist_id,primary_artist_url,spotify_url,spotify_isrc,stream_count,captured_at,source_note
M069,Epidemia,Выбор есть!,6DxYqQP095L38pVc5hXLdU,7GQkGMp7NcATMCru95ES3N,https://open.spotify.com/artist/7GQkGMp7NcATMCru95ES3N,https://open.spotify.com/track/6DxYqQP095L38pVc5hXLdU,TCADL1891398,,,Spotify desktop album page
M070,Sunrise,Tower of Fear,0rVS03RFAfLm0HzOpuGeR6,5KoM1czSEh1VGnySR3h2n4,https://open.spotify.com/artist/5KoM1czSEh1VGnySR3h2n4,https://open.spotify.com/track/0rVS03RFAfLm0HzOpuGeR6,FR2X41738859,,,Spotify desktop album page
M071,Agora,En la Nada,23ILYQwmx0J8eSPjltEb6L,6rYc6WImdfhd7wtSFp1jb3,https://open.spotify.com/artist/6rYc6WImdfhd7wtSFp1jb3,https://open.spotify.com/track/23ILYQwmx0J8eSPjltEb6L,MX2661100032,,,Spotify desktop album page
M072,Helker,Fight,4Qqz7qQIF2IPuAOnS92SKJ,73UaCOx7zJtZ8HlEjTnb0Z,https://open.spotify.com/artist/73UaCOx7zJtZ8HlEjTnb0Z,https://open.spotify.com/track/4Qqz7qQIF2IPuAOnS92SKJ,DEU601706780,,,Spotify desktop album page
M073,Deadline,Bloodbeast,1mAivZyomROH2PYh7SaXJg,2SQva0Fk9JucHzy3TA8tO9,https://open.spotify.com/artist/2SQva0Fk9JucHzy3TA8tO9,https://open.spotify.com/track/1mAivZyomROH2PYh7SaXJg,ushm81798834,,,Spotify desktop album page
M074,Skinflint,Flesh Potion,5Hx4kJ8V59tGFotZHYW9Vy,76MMXRm4VwkwlptuOPeRX1,https://open.spotify.com/artist/76MMXRm4VwkwlptuOPeRX1,https://open.spotify.com/track/5Hx4kJ8V59tGFotZHYW9Vy,TCAGX2337229,,,Spotify desktop album page
M075,Arka'n Asrafokor,Awala,1oAECJelV9xSstJB8fRleU,6l8FgxcVWdqGn25uZY2rgY,https://open.spotify.com/artist/6l8FgxcVWdqGn25uZY2rgY,https://open.spotify.com/track/1oAECJelV9xSstJB8fRleU,TCAEG1943838,,,Spotify desktop album page
M076,Emerald,Digital Slavery,4yqFAogywm9DGzQOoiLkil,4w0gX7zcZG18e8yqvXoUKL,https://open.spotify.com/artist/4w0gX7zcZG18e8yqvXoUKL,https://open.spotify.com/track/4yqFAogywm9DGzQOoiLkil,DEZ901900009,,,Spotify desktop album page
M077,Dragony,If It Bleeds We Can Kill It,2YQDtovUXJ2zfPldc9mZzy,4ZGFYwFpBWxq6FxqilvRJT,https://open.spotify.com/artist/4ZGFYwFpBWxq6FxqilvRJT,https://open.spotify.com/track/2YQDtovUXJ2zfPldc9mZzy,DET271817202,,,Spotify desktop album page
M079,Power Paladin,Kraven the Hunter,0IDr7J6wfuZZaajThEC4cO,2jkaoO6BDX0QvewdjxRSvB,https://open.spotify.com/artist/2jkaoO6BDX0QvewdjxRSvB,https://open.spotify.com/track/0IDr7J6wfuZZaajThEC4cO,DE1AH2200401,,,Spotify desktop album page
M080,Arrayan Path,Stigmata,1YpY2YfPHkbXCA1kaccmoF,4i1kDUJkz1Md0NK9iyLuAD,https://open.spotify.com/artist/4i1kDUJkz1Md0NK9iyLuAD,https://open.spotify.com/track/1YpY2YfPHkbXCA1kaccmoF,CYA081302305,,,Spotify desktop album page
M081,Eagleheart,Reverse,6s5DxrVYsqh50hN2adnj0m,1AJYEp0lejGrqWQsp2bHgW,https://open.spotify.com/artist/1AJYEp0lejGrqWQsp2bHgW,https://open.spotify.com/track/6s5DxrVYsqh50hN2adnj0m,ITD291701568,,,Spotify desktop album page
M082,Within Silence,Children of Light,2E6u46W9j1nNpZ91JRoi7O,3qeklOq9OkE7FdJB0rjgXY,https://open.spotify.com/artist/3qeklOq9OkE7FdJB0rjgXY,https://open.spotify.com/track/2E6u46W9j1nNpZ91JRoi7O,SEXEN1700703,,,Spotify desktop album page
M083,Wisdom,Ravens' Night,2WCMdHV3NkjNIARfkjMGE0,2Uvj75EFUSbO45dqL4SDpw,https://open.spotify.com/artist/2Uvj75EFUSbO45dqL4SDpw,https://open.spotify.com/track/2WCMdHV3NkjNIARfkjMGE0,ATN261505402,,,Spotify desktop album page
M084,Exlibris,Hellphoria,4ZCE9a3407wu9FG2i8baFE,3w8AGJIJV3eAHw6cCZiFjb,https://open.spotify.com/artist/3w8AGJIJV3eAHw6cCZiFjb,https://open.spotify.com/track/4ZCE9a3407wu9FG2i8baFE,PLA641308724,,,Spotify desktop album page
